2017-06-12,5.400000,5.950000,5.350000,5.950000,5.950000,2292000,MOBL,3yr
,MOBL,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-12-11,35.380001,36.430000,35.119999,35.720001,35.720001,343000,NEWR,1yr
,NEWR,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-12-11,59.930000,60.849998,58.709999,60.000000,60.000000,961000,NEWR,3yr
,NEWR,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-04-14,31.530001,31.690001,30.090000,30.490000,30.490000,267800,PAYC,1yr
,PAYC,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-18,31.559999,32.139999,31.180000,31.480000,31.480000,242200,PCTY,1yr
,PCTY,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-20,36.900002,37.439999,36.900002,37.279999,37.279999,122000,PCTY,3yr
,PCTY,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-19,21.580000,21.850000,21.410000,21.559999,21.559999,52100,QTWO,1yr
,QTWO,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-20,36.150002,36.450001,35.349998,35.799999,35.799999,265300,QTWO,3yr
,QTWO,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-05-28,3.900000,4.610000,3.650000,4.290000,4.290000,329800,RESN,1yr
,RESN,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-04-16,25.799999,25.900000,25.379999,25.420000,24.184086,617900,SABR,1yr
,SABR,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-04-17,22.040001,22.270000,21.770000,21.950001,21.644815,11783500,SABR,3yr
,SABR,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-04-01,18.520000,18.520000,17.100000,17.430000,17.430000,267400,RUBI,1yr
,RUBI,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-04-03,5.900000,5.950000,5.630000,5.630000,5.630000,1192100,RUBI,3yr
,RUBI,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-05-15,14.170000,14.660000,14.060000,14.250000,14.250000,767900,TRUE,1yr
,TRUE,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-05-15,17.500000,17.680000,17.340000,17.580000,17.580000,2660800,TRUE,3yr
,TRUE,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-11-05,7.920000,8.000000,7.850000,8.000000,8.000000,5400,UPLD,1yr
,UPLD,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-11-06,21.840000,21.930000,20.570000,20.660000,20.660000,89700,UPLD,3yr
,UPLD,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-02-27,30.950001,31.490000,30.740000,30.889999,30.889999,131900,VRNS,1yr
,VRNS,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-02-27,27.700001,28.100000,27.475000,27.750000,27.750000,204800,VRNS,3yr
,VRNS,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-12-11,18.139999,18.250000,17.500000,18.030001,18.030001,162800,WK,1yr
,WK,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-12-11,21.200001,21.350000,21.100000,21.299999,21.299999,150900,WK,3yr
,WK,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-05-14,22.629999,22.945000,22.360001,22.590000,22.590000,477800,ZEN,1yr
,ZEN,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-05-15,27.290001,27.558001,27.180000,27.330000,27.330000,1024400,ZEN,3yr
,ZEN,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-10-30,37.049999,38.250000,36.810001,38.099998,38.099998,458600,WUBA,1yr
,WUBA,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-10-31,42.490002,42.490002,41.459999,41.849998,41.849998,1091200,WUBA,3yr
,WUBA,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-09-25,17.750000,17.940001,16.910000,16.959999,16.959999,177700,AAOI,1yr
,AAOI,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-09-26,21.110001,21.600000,20.850000,21.010000,21.010000,409300,AAOI,3yr
,AAOI,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-12-10,36.709999,37.810001,35.820000,36.220001,36.220001,851900,ATHM,1yr
,ATHM,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-12-12,27.110001,27.309999,26.540001,26.780001,26.780001,390000,ATHM,3yr
,ATHM,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-11-05,31.740000,32.250000,30.850000,31.320000,31.320000,304600,CUDA,1yr
,CUDA,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-11-07,23.770000,23.870001,23.559999,23.860001,23.860001,431400,CUDA,3yr
,CUDA,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-09-17,31.590000,32.540001,31.370001,31.590000,31.590000,143600,BNFT,1yr
,BNFT,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-09-19,38.880001,39.189999,38.250000,38.910000,38.910000,106100,BNFT,3yr
,BNFT,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-10-24,23.080000,23.120001,22.639999,22.820000,22.820000,467200,COMM,1yr
,COMM,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-10-24,32.250000,32.470001,31.770000,31.980000,31.980000,1172200,COMM,3yr
,COMM,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-10-24,15.750000,15.970000,15.290000,15.870000,15.870000,99800,EIGI,1yr
,EIGI,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2016-10-24,7.750000,8.150000,7.655000,8.050000,8.050000,528500,EIGI,3yr
,EIGI,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2014-04-11,23.170000,23.280001,22.700001,23.059999,21.277969,694100,EVTC,1yr
,EVTC,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
